 *tel    csi      Z      A   CsIE(MeV)   CsIV-VCal        CsIV       VCal
    1      2      2      4     152.181  -0.0313179     1.09028      1.1216
    1      2      2      4     165.355  -0.0344569     1.19172     1.22618
    1      2      2      4     178.574  -0.0359311     1.29534     1.33127
    1      2      2      4     191.847  -0.0351313      1.4018     1.43693
    1      2      2      4     204.345   -0.033771     1.50276     1.53653
    1      2      2      4     217.746  -0.0310602     1.61237     1.64343
    1      2      2      4     230.377  -0.0282538     1.71602     1.74427
    1      2      2      4     243.931  -0.0249697      1.8276     1.85257
    1      2      2      4     256.718  -0.0222282     1.93258     1.95481
    1      2      2      4     269.588  -0.0194231     2.03835     2.05777
    1      2      2      6      8.7011   0.0121989   0.0318352   0.0196363
    1      2      2      6     19.4682   0.0236403     0.10785   0.0842097
    1      2      2      6     30.1301    0.023047     0.17956    0.156513
    1      2      2      6     41.6303   0.0191897    0.257863    0.238673
    1      2      2      6     52.1917    0.015368    0.331668      0.3163
    1      2      2      6     63.4958  0.00917604    0.410041    0.400865
    1      2      2      6     74.6281  0.00367373    0.488865    0.485191
    1      2      2      6     85.6527  -0.000530815    0.568924    0.569455
    1      2      2      6     96.5862  -0.00604017    0.647551    0.653591
    1      2      2      6     107.442  -0.0111541    0.726421    0.737575
    1      2      2      6      118.23  -0.0151277    0.806265    0.821393
    1      2      2      6     129.786  -0.0201264    0.891379    0.911505
    1      2      2      6     140.467  -0.0238211    0.971228    0.995049
    1      2      2      6     151.926  -0.0258691     1.05904     1.08491
    1      2      2      6     162.534    -0.02803     1.14025     1.16828
    1      2      2      6      173.93  -0.0281661     1.22985     1.25802
    1      2      2      6     184.492  -0.0266052     1.31472     1.34133
    1      2      2      6     195.852  -0.0224722     1.40859     1.43106
    1      2      2      6     206.391  -0.0185744     1.49585     1.51442
    1      2      2      6     217.736  -0.0129289     1.59134     1.60427
    1      2      2      6     228.272  -0.0071965      1.6806      1.6878
    1      2      2      6     239.623  0.000266914     1.77814     1.77787
    1      3      2      3     9.84238  -0.00540261   0.0321544    0.037557
    1      3      2      3     21.1854  -0.000900601    0.112883    0.113784
    1      3      2      3     33.8667  -0.00107681    0.203191    0.204268
    1      3      2      3     45.5784  -0.00224647    0.287616    0.289862
    1      3      2      3     57.2781  -0.00322126    0.373204    0.376425
    1      3      2      3     69.8389  -0.00648535    0.463617    0.470102
    1      3      2      3     81.6057   -0.010214    0.548125    0.558339
    1      3      2      3     93.4276  -0.0132779    0.634053    0.647331
    1      3      2      3     105.315  -0.0185497    0.718531    0.737081
    1      3      2      3     117.278  -0.0247682    0.802845    0.827613
    1      3      2      3     129.325  -0.0298671    0.889088    0.918955
    1      3      2      3     141.464  -0.0364189    0.974721     1.01114
